iter	RMSE
0	9.679923561
1	9.518019637
2	9.360606562
3	9.223672185
4	9.076566385
5	8.938930184
6	8.815434641
7	8.699357965
8	8.585609285
9	8.454150168
10	8.33623742
11	8.222100193
12	8.117594851
13	8.016226684
14	7.909904008
15	7.829130688
16	7.756930991
17	7.678025201
18	7.602221659
19	7.533193799
20	7.457837799
21	7.393792544
22	7.331693004
23	7.274748753
24	7.206619456
25	7.152498811
26	7.081650438
27	7.022591866
28	6.963631029
29	6.921241697
30	6.875387624
31	6.824299418
32	6.781467134
33	6.734584036
34	6.691001872
35	6.648774064
36	6.613264599
37	6.573850858
38	6.528951504
39	6.486276719
40	6.44610655
41	6.412453614
42	6.377043763
43	6.346718294
44	6.307682253
45	6.281344409
46	6.247754201
47	6.213826645
48	6.181062187
49	6.149753828
50	6.126411099
51	6.096496842
52	6.07685611
53	6.049047591
54	6.024844894
55	6.000687374
56	5.973808131
57	5.946409929
58	5.926157186
59	5.909258849
60	5.883038811
61	5.855747963
62	5.834204263
63	5.810801519
64	5.792135163
65	5.767153765
66	5.746692477
67	5.731629279
68	5.708172893
69	5.694445452
70	5.674728728
71	5.657364782
72	5.639316997
73	5.615775132
74	5.596399747
75	5.580233362
76	5.562903696
77	5.543340368
78	5.52193321
79	5.503785036
80	5.487455223
81	5.473042457
82	5.449993671
83	5.437795669
84	5.417747533
85	5.405470145
86	5.392629283
87	5.378770819
88	5.364980509
89	5.352395288
90	5.333679953
91	5.318935182
92	5.298957381
93	5.285391813
94	5.272544142
95	5.259829261
96	5.248621189
97	5.223723991
98	5.211338075
99	5.194825682
100	5.180221525
101	5.167540848
102	5.150523532
103	5.14051825
104	5.122738405
105	5.108640242
106	5.097084095
107	5.081261666
108	5.071641501
109	5.056531068
110	5.041333558
111	5.021448935
112	5.009351759
113	4.994624828
114	4.980521315
115	4.968449302
116	4.955789623
117	4.938030428
118	4.920924168
119	4.901571554
120	4.889720209
121	4.875450176
122	4.862700719
123	4.849456935
124	4.835751213
125	4.828059161
126	4.81128397
127	4.799612438
128	4.787725399
129	4.778423313
130	4.767899439
131	4.75777577
132	4.746455369
133	4.739806318
134	4.724391661
135	4.716625992
136	4.705717142
137	4.694921307
138	4.682263157
139	4.671299625
140	4.653726329
141	4.642358157
142	4.630286496
143	4.616123305
144	4.602348908
145	4.59048615
146	4.585273924
147	4.573026936
148	4.555078081
149	4.539745662
150	4.530327705
151	4.52069803
152	4.509118126
153	4.491871953
154	4.481568921
155	4.473718812
156	4.453132867
157	4.438324976
158	4.430712043
159	4.418641413
160	4.40919947
161	4.395489075
162	4.38375185
163	4.365859585
164	4.351834862
165	4.343199137
166	4.330860189
167	4.318712126
168	4.30497434
169	4.296455337
170	4.277421777
171	4.271746798
172	4.269500958
173	4.260489748
174	4.250149521
175	4.23722321
176	4.226006213
177	4.215777472
178	4.204859082
179	4.193914949
180	4.188395448
181	4.178073121
182	4.169155691
183	4.157784552
184	4.14002624
185	4.12458999
186	4.114662875
187	4.097399043
188	4.082081996
189	4.075470017
190	4.060930201
191	4.049957726
192	4.046362726
193	4.026424585
194	4.014009038
195	4.001295745
196	3.986488741
197	3.971570947
198	3.956210005
199	3.940879922
200	3.93148198
201	3.915691426
202	3.905622121
203	3.894476255
204	3.886407526
205	3.872714542
206	3.856971045
207	3.836750864
208	3.825489212
209	3.815997334
210	3.808184669
211	3.795124789
212	3.791579629
213	3.77917358
214	3.767930695
215	3.756925949
216	3.748054435
217	3.739252292
218	3.732107144
219	3.723424294
220	3.707897067
221	3.700649135
222	3.686348436
223	3.676459986
224	3.660614045
225	3.656825537
226	3.644283618
227	3.62898623
228	3.626924711
229	3.610422562
230	3.598933776
231	3.593383351
232	3.586108683
233	3.579421524
234	3.572314232
235	3.569680934
236	3.55399554
237	3.542436639
238	3.532861747
239	3.515802017
240	3.508258581
241	3.503252279
242	3.497223746
243	3.481022594
244	3.46501272
245	3.455066125
246	3.444775648
247	3.434118242
248	3.422439906
249	3.411310753
250	3.399997818
251	3.386632968
252	3.37855688
253	3.369341253
254	3.355108318
255	3.350103038
256	3.335661286
257	3.32799118
258	3.315941655
259	3.304687011
260	3.30269825
261	3.296973558
262	3.289815357
263	3.278071201
264	3.263833794
265	3.254626458
266	3.244114994
267	3.233806664
