iter	Passed	Remaining
0	62	62243
1	66	33170
2	70	23274
3	73	18212
4	76	15175
5	80	13343
6	84	12043
7	88	10989
8	91	10116
9	95	9480
10	99	8937
11	102	8464
12	106	8082
13	110	7812
14	115	7583
15	118	7314
16	122	7095
17	126	6922
18	130	6745
19	134	6589
20	138	6471
21	145	6482
22	150	6378
23	153	6251
24	157	6141
25	162	6074
26	165	5972
27	169	5878
28	173	5793
29	177	5737
30	180	5652
31	184	5578
32	188	5514
33	192	5462
34	196	5405
35	199	5343
36	202	5273
37	205	5209
38	209	5163
39	212	5105
40	215	5048
41	219	4996
42	222	4947
43	226	4925
44	230	4891
45	233	4847
46	237	4807
47	240	4777
48	244	4735
49	247	4698
50	250	4669
51	254	4644
52	258	4619
53	262	4592
54	265	4567
55	269	4541
56	274	4533
57	278	4523
58	283	4526
59	294	4609
60	307	4734
61	325	4922
62	334	4974
63	342	5007
64	347	4998
65	352	4991
66	362	5042
67	366	5019
68	375	5070
69	382	5082
70	388	5089
71	393	5073
72	399	5067
73	406	5081
74	410	5061
75	413	5031
76	418	5014
77	424	5020
78	428	4994
79	432	4969
80	436	4956
81	440	4935
82	444	4915
83	448	4890
84	452	4867
85	455	4842
86	458	4816
87	462	4789
88	465	4767
89	469	4743
90	472	4720
91	476	4698
92	480	4688
93	484	4668
94	488	4649
95	491	4627
96	494	4606
97	498	4587
98	501	4565
99	505	4548
100	509	4530
101	512	4514
102	516	4494
103	519	4474
104	522	4455
105	525	4434
106	529	4416
107	574	4745
108	584	4780
109	590	4775
110	595	4768
111	598	4747
112	602	4726
113	605	4705
114	608	4686
115	612	4668
116	617	4657
117	620	4640
118	624	4623
119	628	4607
120	631	4587
121	634	4567
122	638	4550
123	641	4532
124	647	4533
125	650	4515
126	654	4496
127	658	4484
128	661	4468
129	666	4459
130	669	4443
131	672	4425
132	676	4410
133	679	4393
134	683	4377
135	686	4360
136	689	4345
137	693	4331
138	696	4316
139	700	4302
140	704	4289
141	707	4276
142	711	4262
143	714	4248
144	717	4233
145	721	4218
146	724	4205
147	727	4190
148	731	4177
149	735	4165
150	738	4153
151	742	4140
152	745	4128
153	749	4115
154	752	4102
155	756	4093
156	760	4085
157	764	4072
158	767	4059
159	770	4046
160	774	4035
161	777	4022
162	781	4012
163	784	3998
164	787	3987
165	792	3980
166	800	3991
167	806	3995
168	812	3992
169	816	3988
170	825	4003
171	831	4004
172	836	4000
173	842	4000
174	847	3993
175	850	3981
176	854	3972
177	857	3961
178	861	3949
179	864	3938
180	867	3925
181	871	3916
182	874	3904
183	878	3894
184	881	3885
185	885	3874
186	889	3865
187	892	3855
188	895	3844
189	899	3834
190	903	3825
191	906	3814
192	909	3804
193	913	3794
194	916	3783
195	920	3774
196	923	3764
197	927	3755
198	930	3745
199	933	3735
200	937	3725
201	940	3714
202	943	3704
203	946	3693
204	949	3684
205	953	3673
206	956	3663
207	959	3652
208	962	3642
209	965	3633
210	970	3628
211	974	3621
212	978	3614
213	982	3609
214	985	3599
215	989	3590
216	992	3580
217	995	3572
218	999	3563
219	1002	3554
220	1005	3545
221	1008	3535
222	1011	3525
223	1015	3517
224	1018	3508
225	1021	3499
226	1025	3490
227	1028	3481
228	1031	3473
229	1034	3464
230	1038	3455
231	1041	3447
232	1044	3438
233	1048	3430
234	1051	3422
235	1054	3413
236	1057	3405
237	1061	3399
238	1065	3392
239	1069	3386
240	1072	3378
241	1075	3370
242	1080	3364
243	1084	3359
244	1087	3350
245	1091	3344
246	1095	3340
247	1099	3335
248	1105	3332
249	1110	3330
250	1114	3326
251	1118	3321
252	1122	3314
253	1126	3307
254	1129	3300
255	1132	3292
256	1136	3285
257	1141	3282
258	1144	3274
259	1147	3266
260	1150	3258
261	1154	3251
262	1157	3244
263	1161	3238
264	1164	3230
265	1167	3222
266	1171	3215
267	1174	3208
268	1178	3201
269	1181	3194
270	1184	3186
271	1187	3179
272	1209	3220
273	1214	3218
274	1221	3219
275	1225	3214
276	1228	3206
277	1231	3198
278	1235	3191
279	1239	3186
280	1243	3181
281	1246	3173
282	1250	3167
283	1253	3160
284	1257	3153
285	1260	3146
286	1263	3139
287	1266	3132
288	1270	3125
289	1274	3119
290	1277	3112
291	1280	3104
292	1285	3102
293	1329	3192
294	1334	3188
295	1339	3185
296	1343	3179
297	1347	3175
298	1350	3167
299	1354	3160
300	1357	3153
301	1361	3145
302	1364	3138
303	1367	3130
304	1371	3124
305	1374	3117
306	1377	3109
307	1381	3103
308	1384	3096
309	1388	3089
310	1391	3082
311	1410	3109
312	1416	3109
313	1421	3105
314	1425	3099
315	1428	3092
316	1432	3086
317	1435	3079
318	1439	3072
319	1442	3065
320	1446	3059
321	1449	3052
322	1453	3046
323	1457	3040
324	1461	3035
325	1465	3029
326	1469	3023
327	1472	3016
328	1476	3010
329	1480	3005
330	1485	3002
331	1489	2996
332	1493	2991
333	1496	2984
334	1500	2978
335	1503	2971
336	1507	2965
337	1510	2959
338	1514	2952
339	1517	2946
340	1521	2940
341	1524	2932
342	1527	2926
343	1530	2919
344	1534	2913
345	1537	2906
346	1540	2899
347	1543	2892
348	1547	2886
349	1550	2879
350	1553	2872
351	1556	2865
352	1559	2858
353	1562	2851
354	1566	2845
355	1569	2838
356	1572	2831
357	1575	2824
358	1578	2818
359	1581	2811
360	1584	2805
361	1587	2798
362	1590	2791
363	1594	2786
364	1598	2780
365	1601	2773
366	1604	2767
367	1608	2762
368	1613	2758
369	1617	2753
370	1620	2747
371	1624	2742
372	1628	2736
373	1631	2730
374	1635	2726
375	1639	2720
376	1649	2725
377	1658	2729
378	1663	2725
379	1666	2719
380	1669	2712
381	1673	2706
382	1676	2700
383	1679	2694
384	1682	2688
385	1685	2681
386	1689	2675
387	1693	2670
388	1696	2665
389	1700	2659
390	1704	2654
391	1707	2648
392	1711	2643
393	1714	2637
394	1718	2631
395	1721	2626
396	1726	2622
397	1730	2617
398	1733	2610
399	1736	2604
400	1739	2598
401	1743	2593
402	1746	2587
403	1750	2581
404	1753	2575
405	1756	2569
406	1760	2564
407	1763	2558
408	1766	2553
409	1770	2547
410	1774	2542
411	1778	2538
412	1782	2533
413	1789	2533
414	1795	2530
415	1799	2526
416	1802	2520
417	1806	2515
418	1809	2509
419	1812	2503
420	1815	2497
421	1818	2490
422	1821	2485
423	1825	2479
424	1828	2473
425	1831	2467
426	1834	2461
427	1837	2456
428	1840	2450
429	1843	2444
430	1847	2438
431	1850	2432
432	1853	2427
433	1856	2421
434	1859	2415
435	1862	2409
436	1865	2403
437	1868	2398
438	1872	2392
439	1875	2386
440	1878	2381
441	1881	2375
442	1885	2370
443	1888	2365
444	1892	2359
445	1895	2353
446	1898	2348
447	1901	2343
448	1904	2337
449	1908	2332
450	1911	2326
451	1914	2321
452	1918	2316
453	1921	2310
454	1924	2305
455	1927	2299
456	1930	2293
457	1934	2288
458	1937	2283
459	1940	2277
460	1943	2272
461	1947	2268
462	1952	2265
463	1956	2259
464	1959	2254
465	1962	2248
466	1965	2243
467	1969	2238
468	1972	2233
469	1976	2228
470	1979	2223
471	1983	2218
472	1986	2213
473	1989	2208
474	1993	2202
475	1996	2197
476	1999	2192
477	2002	2187
478	2005	2181
479	2009	2176
480	2012	2171
481	2015	2166
482	2019	2161
483	2022	2155
484	2025	2150
485	2028	2145
486	2031	2140
487	2034	2134
488	2037	2129
489	2040	2124
490	2043	2118
491	2047	2113
492	2050	2108
493	2054	2104
494	2057	2099
495	2060	2093
496	2064	2088
497	2066	2083
498	2069	2078
499	2073	2073
500	2076	2067
501	2080	2063
502	2083	2058
503	2087	2053
504	2090	2049
505	2093	2043
506	2096	2039
507	2100	2033
508	2103	2028
509	2106	2023
510	2109	2018
511	2112	2013
512	2115	2008
513	2118	2003
514	2123	1999
515	2129	1997
516	2133	1992
517	2137	1988
518	2140	1983
519	2144	1979
520	2149	1975
521	2152	1970
522	2155	1966
523	2160	1962
524	2165	1959
525	2189	1972
526	2207	1981
527	2213	1978
528	2218	1975
529	2223	1971
530	2229	1968
531	2234	1965
532	2238	1960
533	2243	1957
534	2251	1956
535	2256	1953
536	2264	1952
537	2268	1947
538	2271	1943
539	2280	1943
540	2287	1940
541	2292	1937
542	2298	1934
543	2305	1932
544	2312	1930
545	2318	1927
546	2326	1926
547	2330	1922
548	2334	1917
549	2338	1913
550	2342	1909
551	2346	1904
552	2350	1900
553	2355	1895
554	2359	1891
555	2363	1887
556	2367	1882
557	2371	1878
558	2375	1874
559	2379	1869
560	2383	1865
561	2388	1861
562	2392	1856
563	2396	1852
564	2399	1847
565	2404	1843
566	2408	1839
567	2412	1834
568	2416	1830
569	2420	1826
570	2424	1821
571	2428	1817
572	2432	1812
573	2436	1808
574	2440	1803
575	2444	1799
576	2448	1795
577	2453	1791
578	2457	1786
579	2461	1782
580	2465	1778
581	2471	1774
582	2476	1771
583	2482	1768
584	2489	1766
585	2494	1762
586	2499	1758
587	2503	1754
588	2508	1750
589	2512	1745
590	2516	1741
591	2520	1737
592	2524	1732
593	2528	1728
594	2533	1724
595	2537	1720
596	2541	1715
597	2545	1711
598	2550	1707
599	2554	1702
600	2558	1698
601	2562	1694
602	2567	1690
603	2572	1686
604	2578	1683
605	2582	1679
606	2587	1675
607	2592	1671
608	2598	1668
609	2604	1665
610	2611	1662
611	2617	1659
612	2621	1654
613	2625	1650
614	2630	1646
615	2633	1641
616	2642	1640
617	2649	1637
618	2654	1634
619	2660	1630
620	2664	1626
621	2669	1621
622	2673	1617
623	2678	1613
624	2683	1609
625	2687	1605
626	2691	1601
627	2697	1598
628	2701	1593
629	2706	1589
630	2710	1585
631	2714	1580
632	2719	1576
633	2723	1572
634	2728	1568
635	2732	1563
636	2736	1559
637	2741	1555
638	2747	1552
639	2751	1547
640	2756	1543
641	2761	1539
642	2765	1535
643	2769	1531
644	2774	1526
645	2778	1522
646	2782	1517
647	2786	1513
648	2793	1510
649	2798	1507
650	2803	1503
651	2809	1499
652	2815	1496
653	2820	1492
654	2824	1487
655	2828	1483
656	2832	1478
657	2837	1474
658	2841	1470
659	2845	1466
660	2849	1461
661	2853	1457
662	2858	1453
663	2862	1448
664	2868	1444
665	2876	1442
666	2880	1437
667	2884	1433
668	2889	1429
669	2893	1425
670	2897	1420
671	2901	1416
672	2906	1412
673	2910	1407
674	2914	1403
675	2919	1399
676	2923	1395
677	2928	1390
678	2932	1386
679	2936	1382
680	2941	1377
681	2945	1373
682	2950	1369
683	2954	1365
684	2958	1360
685	2963	1356
686	2967	1352
687	2972	1347
688	2976	1343
689	2980	1339
690	2984	1334
691	2989	1330
692	2993	1326
693	2998	1322
694	3002	1317
695	3006	1313
696	3010	1308
697	3015	1304
698	3020	1300
699	3024	1296
700	3027	1291
701	3030	1286
702	3034	1281
703	3037	1277
704	3040	1272
705	3044	1267
706	3047	1262
707	3050	1258
708	3054	1253
709	3058	1249
710	3061	1244
711	3065	1239
712	3069	1235
713	3073	1231
714	3077	1226
715	3082	1222
716	3086	1218
717	3090	1213
718	3094	1209
719	3100	1205
720	3103	1201
721	3107	1196
722	3110	1191
723	3113	1186
724	3117	1182
725	3120	1177
726	3123	1173
727	3126	1168
728	3130	1163
729	3134	1159
730	3138	1155
731	3142	1150
732	3146	1146
733	3150	1141
734	3153	1137
735	3157	1132
736	3160	1127
737	3164	1123
738	3167	1118
739	3170	1114
740	3174	1109
741	3178	1105
742	3183	1101
743	3186	1096
744	3190	1092
745	3194	1087
746	3198	1083
747	3201	1078
748	3204	1073
749	3207	1069
750	3211	1064
751	3216	1060
752	3221	1056
753	3226	1052
754	3233	1049
755	3237	1044
756	3243	1041
757	3247	1036
758	3251	1032
759	3254	1027
760	3258	1023
761	3261	1018
762	3265	1014
763	3268	1009
764	3271	1005
765	3275	1000
766	3278	996
767	3282	991
768	3286	987
769	3289	982
770	3293	978
771	3296	973
772	3299	969
773	3302	964
774	3306	959
775	3309	955
776	3312	950
777	3315	946
778	3319	941
779	3322	937
780	3326	932
781	3330	928
782	3334	924
783	3337	919
784	3340	915
785	3344	910
786	3347	906
787	3350	901
788	3354	897
789	3358	892
790	3361	888
791	3364	883
792	3367	879
793	3371	874
794	3375	870
795	3378	865
796	3381	861
797	3385	856
798	3388	852
799	3392	848
800	3396	843
801	3399	839
802	3402	834
803	3406	830
804	3410	826
805	3413	821
806	3416	817
807	3420	812
808	3424	808
809	3427	803
810	3430	799
811	3434	795
812	3438	790
813	3441	786
814	3445	782
815	3448	777
816	3452	773
817	3456	769
818	3459	764
819	3463	760
820	3466	755
821	3470	751
822	3473	747
823	3477	742
824	3481	738
825	3485	734
826	3488	729
827	3492	725
828	3496	721
829	3502	717
830	3506	713
831	3512	709
832	3518	705
833	3522	701
834	3527	696
835	3531	692
836	3535	688
837	3539	684
838	3543	679
839	3546	675
840	3550	671
841	3553	666
842	3556	662
843	3560	658
844	3581	657
845	3588	653
846	3593	649
847	3596	644
848	3600	640
849	3603	635
850	3607	631
851	3610	627
852	3613	622
853	3617	618
854	3621	614
855	3624	609
856	3627	605
857	3630	600
858	3634	596
859	3638	592
860	3641	587
861	3645	583
862	3648	579
863	3652	574
864	3655	570
865	3659	566
866	3681	564
867	3689	561
868	3695	557
869	3702	553
870	3707	549
871	3711	544
872	3719	541
873	3723	536
874	3727	532
875	3732	528
876	3736	524
877	3740	519
878	3743	515
879	3747	511
880	3750	506
881	3754	502
882	3758	498
883	3763	493
884	3768	489
885	3771	485
886	3774	480
887	3779	476
888	3783	472
889	3786	467
890	3789	463
891	3792	459
892	3797	454
893	3800	450
894	3803	446
895	3806	441
896	3811	437
897	3814	433
898	3817	428
899	3821	424
900	3824	420
901	3829	416
902	3832	411
903	3835	407
904	3839	403
905	3843	398
906	3847	394
907	3850	390
908	3854	385
909	3857	381
